nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
498.3967, 183.6524, 359.9113, 181.5564, 567.9481, 314.8615, 295.2303, 314.6466, 423.6166, 239.0324, 453.5056, 203.1014, 393.9649, 202.9558
495.6578, 182.036, 357.9243, 182.886, 568.7664, 313.3878, 294.9782, 314.4839, 422.7147, 239.2491, 452.9677, 201.5948, 392.3787, 202.0911
496.8448, 177.5263, 356.5913, 179.6813, 571.0043, 314.1369, 294.6518, 316.451, 424.0814, 236.1011, 456.2049, 199.7779, 395.8102, 198.1944
500.8194, 180.4649, 360.4522, 176.8543, 567.1525, 317.5735, 296.2187, 310.98, 422.6355, 234.3617, 453.2652, 196.9005, 392.6721, 197.1627
497.7505, 174.744, 357.3226, 176.2597, 571.7816, 312.3429, 294.9279, 313.7823, 423.6224, 233.9921, 453.611, 198.228, 395.0621, 198.08
496.8423, 178.7642, 360.7916, 178.917, 567.9631, 311.9194, 295.6599, 313.4708, 423.9947, 234.1322, 454.1129, 197.8895, 394.8276, 197.8316
496.6281, 177.5554, 359.4219, 177.9922, 566.3247, 311.5692, 295.3798, 313.5815, 423.9466, 233.1993, 454.2974, 195.9853, 394.1361, 195.8578
497.8487, 174.708, 358.5063, 175.2401, 570.1558, 314.534, 295.5682, 312.4586, 422.3438, 233.3938, 452.9143, 195.7057, 392.2635, 196.1603
497.5757, 173.8714, 357.153, 175.713, 572.0674, 314.1203, 294.5606, 314.3179, 422.3, 230.9004, 453.1281, 193.5397, 392.6244, 193.4023
497.3015, 173.5273, 357.2712, 173.9124, 570.2393, 312.8332, 293.492, 314.6946, 422.396, 231.1345, 452.4938, 193.7243, 392.6984, 193.9417
496.0135, 172.9352, 357.4814, 174.2934, 569.7009, 314.7337, 293.9689, 316.1649, 422.9164, 229.5932, 451.9012, 193.3583, 393.5052, 193.7599
494.1872, 173.3653, 358.0246, 176.0184, 567.9345, 314.185, 293.7051, 316.1472, 421.3106, 231.7497, 451.6928, 194.0135, 391.4808, 194.7527
496.9692, 173.1327, 357.2188, 175.6863, 571.8751, 313.8518, 295.1854, 314.6505, 421.9052, 233.7161, 452.537, 195.5839, 391.4835, 196.0525
496.993, 173.5014, 355.8105, 175.8364, 571.0564, 314.8409, 294.1186, 315.1324, 422.3574, 233.5037, 452.6248, 194.625, 391.0929, 196.2496
497.4385, 172.2177, 355.1924, 176.8228, 572.33, 314.9319, 293.6123, 317.1534, 421.928, 231.4958, 452.1665, 194.6632, 392.0539, 195.1238
495.9467, 175.9702, 356.8088, 177.718, 569.6825, 314.8115, 293.618, 315.5624, 421.2961, 232.7876, 451.9885, 195.1967, 390.8701, 196.0342
496.9137, 174.8283, 355.7149, 177.636, 570.3016, 313.8529, 295.4288, 313.4432, 435.3665, 260.2267, 470.6512, 213.1883, 395.353, 215.656
518.701, 185.8667, 344.8872, 192.4688, 589.0178, 334.9304, 283.2545, 336.8523, 435.3727, 258.254, 470.892, 212.1982, 395.7244, 214.3553
519.385, 189.4713, 346.0424, 195.4794, 590.1225, 337.2637, 284.6139, 337.4683, 435.4541, 259.5166, 470.4547, 213.9559, 395.9726, 216.4641
